@relation headbrain-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Head Size(cm^3)' numeric
@attribute 'Brain Weight(grams)' numeric

@data
3876,1588
3279,1265
3832,1208
3613,1355
3505,1320
4270,1335
3165,1215
4204,1380
3803,1374
3473,1240
4424,1400
3323,1249
3916,1360
3156,1225
3594,1290
4160,1370
3158,1100
3609,1210
3548,1460
3399,1226
3782,1350
3704,1220
4121,1380
4053,1312
3399,1173
3748,1350
3524,1250
2939,1060
3354,1204
3104,1080
4430,1510
2720,955
3589,1250
3632,1163
3866,1415
3559,1255
3787,1318
4158,1432
3899,1346
3814,1207
3393,1175
3358,1190
3830,1245
3506,1280
3302,1165
3937,1300
3850,1412
3401,1140
3687,1355
3669,1222
3362,1188
4253,1485
3585,1300
3145,1202
4423,1505
4381,1415
3640,1355
4261,1335
3695,1310
3415,1310
3372,1154
3344,1220
4512,1530
3580,1320
3000,1090
4430,1620
3451,1340
3071,1078
2937,1070
3995,1296
3700,1290
3785,1400
3556,1250
3738,1297
3900,1270
3490,1132
3907,1440
3644,1300
4200,1256
3735,1350
3582,1300
3724,1280
3402,1220
3309,1120
3095,1340
3165,1237
3533,1210
3479,1160
4057,1432
4488,1440
3495,1218
3703,1350
3707,1235
3642,1205
3853,1373
3662,1230
4747,1635
4103,1364
3899,1380
3572,1270
2857,1027
3804,1275
4046,1287
3614,1180
3383,1290
3458,1225
3858,1390
3175,1200
3692,1305
3284,1246
3685,1350
3962,1350
3069,1022
3615,1350
3891,1224
3246,1180
3667,1310
4166,1560
3935,1330
3228,1235
3277,1105
3413,1322
3648,1260
3466,1292
4036,1490
4308,1506
3381,1185
3214,1110
3930,1252
4208,1522
3248,1250
4006,1302
3492,1250
3804,1570
3478,1270
3641,1311
2989,1130
3680,1321
3532,1335
3834,1430
3318,1192
3796,1432
3352,1170
3454,1310
3171,1127
3391,1125
3391,1120
3292,1075
3982,1375
3979,1324
4012,1400
4175,1420
3933,1309
3558,1225
3527,1375
3389,1130
3394,1215
4063,1390
3436,1235
3793,1350
3571,1295
3268,1142
3493,1240
3824,1240
3499,1275
2773,1076
4177,1590
3890,1310
3654,1242
3497,1280
3218,1060
2864,1012
3124,1165
3479,1103
3791,1260
3661,1320
4161,1405
3618,1290
3779,1165
3566,1306
3710,1270
3267,1243
3740,1280
3181,1175
3530,1252
3082,1180
4442,1330
3856,1430
3443,1340
4114,1362
3334,1236
3903,1334
3394,1195
3233,1104
3249,1279
3297,1220
3156,1170
3394,1243
4032,1425
3878,1357
3689,1290
3329,1135
3647,1408
3666,1270
3203,1180
3067,1150
4051,1306
4008,1468
3438,1290
3851,1405
3561,1127
3777,1282
3577,1245
3779,1520
